normalperson wj225|See: Batshua
open_source Iskander|<Palisade> open source is a work of the devil to tempt us!!! stay away from it!!! evil!!! sacrafice stallman!!! inquistion!!! begin the crusades we must find all these "free software" heretics and torture them into converting!!
mersenne Iskander|The Mersenne Primes information site can be found at http://www.mersenne.org
gimps Iskander| The Great Internet Mersenne Prime Search project, http://www.mersenne.org/prime.htm
manpage Iskander|To access a set of man pages online, visit http://www.ntua.gr/cgi-bin/man-cgi
tpo Iskander|<frame> calc tpo <frame> bwahahaha <frame> calc typo <frame> there's irony for you.
iskander_ Iskander|kcin, heh, I only do girls, deer, or komodo dragon statues... I got SOME principles
mcp Iskander|http://pbs.mcp.com has free html versions of computer books
smp Iskander|Symmetric MultiProcessing
digipen Iskander|http://www.digipen.edu is the Nintendo-sponsored game programming/animation college, in Redmond, WA
clisp Iskander|A CL byte-code compiler/interpreter. ftp://ftp.cdrom.com/.1/languages/lisp/clisp contains clisp source and binaries for a number of OS's. For a tutorial on clisp, visit http://www.cs.washington.edu/research/projects/ai/www/home.html
cltl2 Iskander|Common Lisp the Language, 2nd Edition. http://www.cs.washington.edu/research/projects/ai/www/cltl/cltl2.html
cl_hyperspec Iskander|The CL hyperspec can be downloaded freely at http://www.harlequin.com/education/books/HyperSpec/HyperSpec-4-0.tar.gz
c_headers Iskander|http://www-cse.ucsd.edu/users/kube/stdc/lib_over.html contains a list of all the ANSI C headers and functions contained in each of them. Search this site if you want to find out whether a function is part of the ANSI C specs or not.
IEEE Iskander|The Institute of Electrical and Electronics Engineers, Inc., visit http://www.ieee.org
poly_inclusion Iskander|Simple Point in Polygon Convex Tests, http://www.pobox.com/~japhy/lib/polygon.html
myr_record Iskander|<OrngeTide> 101 days of uptime for myrddin, 101 for myrddin .. unplug his machine, watch him scream, 0 days of uptime for myrddin ...
ssh Iskander|secure shell, http://www.ssh.fi
isk_hyper Iskander|<Iskander> i can get hyper without drugs... i just meowwed at our secretary
why dhartmei|Mine not to reason why, mine but to hand an invoice over afterwards.
semen Iskander|<Jaggy> what.. this is #c-men
storm Iskander| <Wazm> noss: We have storms bigger than your country.
tao_programming Iskander|The Tao of Programming: Thus spake the master programmer: 'Thou shalt indent to four. No more. No less. Four shall be the number of the spaces thou shalt indent, and the number of the spaces shall be four. Three spaces shalt thou not indent, nor either indent thou two spaces, excepting that thou then proceed to Four. Five is right out. Once the number four, being the forth space, be reached, then writeth code...'
another_promise Iskander|i promise to always love my best friend, as a friend, and do anything i can to ensure his happiness... i will fail, but i will at least try
gcc Iskander|The GNU Compiler Collection, http://egcs.cygnus.com
ACL Iskander|Allegro Common Lisp, http://www.franz.com
terraserver Iskander| A collection of aerial satellite photographs, with zoom-in capabilities of up to 1 m/pixel, covering most of the US and Canada, can be found at http://terraserver.microsoft.com
shaggy aerid|(from scooby doo), the embodiement of male sexuality.
gnfnr Perly|Metallica ownz.
mother Iskander|<noss> dyke: blueberry is the mother of dennis ritchie.
debt Para-dox|1999-11-24: $5,696,176,434,485.80
WTHAYTA Para-dox|What the HELL are you talking about?
tryit Gambit-|Stop asking if something works and just TRY IT!
1337 aerid|aerid
fuckifiknow Gambit-|Gambit-'s universal response.
att_syntax Palisade|I (palipoo) have temporarly placed the at&t syntax assembly tutorial on my site, don't expect this link to stay valid... anyone else want to host this or rewrite it? I think it was originally written by a regular to #c to explain djgpp's assembly syntax (djgpp is just a port of gcc, so they all use at&t syntax) -- http://home.att.net/~chesterrr/djasm.txt
djgpp_asm Gambit-|I (palipoo) have temporarly placed the at&t syntax assembly tutorial on my site, don't expect this link to stay valid... anyone else want to host this or rewrite it? I think it was originally written by a regular to #c to explain djgpp's assembly syntax (djgpp is just a port of gcc, so they all use at&t syntax) -- http://home.att.net/~chesterrr/djasm.txt
linux-x-win32 Palisade|Linux to win32 cross-platform gcc compiler. -- ftp://ftp.objsw.com/pub/crossgcc/linux-x-win32/
bjarne Para-dox|We are bot. Resistance is futile.
TCG aerid|trench coat gangs, aka role playing kids. if you see them lock them up, they're deeply distrubed individuals.
rapture aerid|X11 running at 1024x768 on an 8mb AGP with proper accelerated driver using Afterstep 1.6.10-1 on a Dell Inspiron 7000 PII 333Mhz
metallica aerid|standing at the summit of the heap of shit we are forced to endure. with gnfnr and aerosmith on top.
gnr aerid|guns n roses is the absolute zero by witch all music can be judged.
algorasm dhartmei|a sudden, short-lived moment of pleasure enjoyed by the programmer (and, for all we know, by the system) when the final kludge rings the bell.
backup dhartmei|to risk (a file, program) by attempting to copy it.
breakpoint dhartmei|a line in a program highlighted by the clairvoyant and dubious.
abend dhartmei|a system abort deliberately induced (usually on Fridays) to allow the third-shift staff to leave early.
and dhartmei|to conjuct (several binary victims) in the Boolean environment. In C: && for logical AND, & for binary AND.
wiki dhartmei|for review, put your code on wiki: http://rm-f.net/~jh/c-wiki/moin.cgi/PutItHere
app dhartmei|diminutive of application. the irrelevant 10 percent of your code lurking beneath, and well-nigh inaccessible from, the glamorous, marketable GUI layer.
applet dhartmei|an empty, provably correct statement immediately returning control to the calling GUI.
argument dhartmei|a disputatious variable given to wrestling with fractious functions.
assertion dhartmei|a non-deductive proof, beyond refutation unless the assertor is physically weaker than the assertee.
bandwidth dhartmei|an upper limit to the error-transfer rate.
benchmark dhartmei|to subject (a system) to a series of tests in order to obtain prearranged results not available on competitive systems.
beta dhartmei|of a software version: the one that ships.
buffer dhartmei|a region between two devices designed to distort or, if possible, prevent the flow of data in either direction.
class dhartmei|Data members encapsulated with a set of methods dying to get at them.
cline dhartmei|C++ Frequently Asked Questions by Marshall Cline, answers on http://www.parashift.com/c++-faq-lite/
close dhartmei|to protect (a file) until the next open statement.
coding dhartmei|the setting of a 1-1 relationship between endless loops on a flowchart and endless loops in a program.
console dhartmei|a device for displaying or printing condolences and obituaries for the operator.
constructor dhartmei|the eponymous member function that creates and initializes instances of its class.
deadline dhartmei|One of a sequence of vague prophecies; a given date before which assignments must not be completed.
debugging dhartmei|Removing a bug, either by tinkering with the program or by amending the program specification so that the side effect of the bug is published as a desirable feature.
declaration dhartmei|A cavalier statement made to a compiler or customs official.
depilation dhartmei|The painful process whereby programs are made less hairy.
dereference2 dhartmei|To trace, with increasing horror, the ultimate object (also called the pointee) being pointed at by a chain of linked pointers.
destructor dhartmei|The lonely serial killer lurking among the member functions of each class.
diagnostic dhartmei|A person who doubts the existence of two gods.
down dhartmei|Moving from an upright, operational, busy, and boring posture to one of horizontal relaxation.
downtime dhartmei|The period during which a system is error-free and immune from user input.
drag-n-drop dhartmei|To throw away your mouse after the first attempt to copy a file leads to its deletion.
encapsulation dhartmei|Hiding the details esp. from those who need to know.
event-driven dhartmei|(Of a disastrous programming paradigm) forced to anticipate the unpredictable with an evergrowing switch-case statement.
featurism dhartmei|Term of abuse applied to the more richly endowed products of your competitors.
firmware dhartmei|A neutral, noware zone between hardware and software, free to deflect blame in either direction, and enabling problems to be solved by three sets of modifications rather than one.
fix dhartmei|To remove (a bug) by redefining the program specification in order to take advantage of an unexpected feature.
flowchart dhartmei|A set of systems analysts' Rausch tests, revealing their innermost, twisted procedural fantasies.
foolproof2 dhartmei|(Of a system) inaccessible by the user.
friend dhartmei|A non-member, granted membership privileges. If class X says you are a friend, you can access X's private and protected parts with no risk of costly litigation.
function dhartmei|A mechanism for mapping a domain of dubious arguments into (rare onto) a range of unreliable results.
functionality dhartmei|Marketese inflation of function.
fuzzy dhartmei|(Of a logic) one in which modus ponens is replaced with modus vivendi.
genetic dhartmei|(Of an algorithm) evolving instantly to the worst case after billions of divergent mutations.
glitch dhartmei|Any unexpected and transient fluctuation in the power supply or, by extension, any sudden change for the worse in the status quo.
global dhartmei|(Of a variable) able to bounce around the system, transferring arbitrary values to and from unconnected programs.
goto2 dhartmei|(Of an order or instruction) hazardous, irresponsible, fatal, inviting contempt.
gui dhartmei|A massive and successful conspiracy to sell MIPS and RAM to the illiterate.
hair dhartmei|The subsumed substance that makes problems, programs, and devices hairy.
hairy dhartmei|(Of a program or system) unduly complex, overly convoluted, beyond fathomage, trichomatic.
handle dhartmei|An alias allowing remote, guilt-free mutilation.
hungarian dhartmei|(Of a notation) the naming of variables using mnemonically data-typifying prefixial agglutination.
icon dhartmei|(GUI) An illiterate prompt; a semiotic retrogression.
if dhartmei|One of many conditional control-flow obstacles faced by a process linearly anxious to complete the next instruction without tiresome, trivial, testing diversions.
infinity dhartmei|More than enough, as in 640 KB (1980) or 4 GB (1990).
inheritance2 dhartmei|Two of the seven pillars of object orienteering. The other five are encapsulation, polymorphism and Brady Gooch.
instantiation dhartmei|The birth of a class instance, that is, an object saddled with the diverse data members ordained for that class, and the methods trained to corrupt them.
interface dhartmei|An arbitrary line of demarcation set up in order to apportion the blame for malfunctions.
intuitivity dhartmei|Innate user knowledge prior to reading the manuals.
lemur dhartmei|[X] YES! I'm a brain-damaged lemur on crack, and I'd like to order your software package for $459.95!
neumann dhartmei|"Anyone who considers arithmetical methods of producing random digits is, of course, in a state of sin. " - John von Neumann (1903-1957)
next dhartmei|Another satisfied customer! Next please.
pebkac dhartmei|Problem Exists Between Keyboard And Chair
plan dhartmei|To bother about the best method of accomplishing an accidental result.
pleonasm dhartmei|An army of words escorting a corporal of thought.
possibilities dhartmei|In the beginner's mind there are many possibilities, but in the expert's there are few. -- Zen master Shunryu Suzuki.
